clean_text,likes,shares,comments,sentiment_score,contains_link,contains_hashtag,platform_encoded,device_encoded,verified_encoded,target
proper handwashing reduces cholera outbreaks,13,88,50,0.55,0,1,2,1,0,0
government hides real dangers of hand sanitizers,299,75,68,-0.35,0,0,3,1,1,1
new who guidelines promote water boiling,190,128,94,0.64,1,0,0,2,1,0
vaccines in water are used to track people,257,21,88,0.77,1,1,3,1,1,1
filtered water removes essential nutrients,125,39,30,-0.83,0,0,2,3,0,1
more east african homes now use filtration,288,100,49,0.57,1,1,1,2,0,0
boiling water damages your organs,78,110,19,0.6,1,1,0,2,0,1
unicef supports safe water projects in ethiopia,263,128,54,0.44,1,1,3,2,0,0
safe sanitation is key to public health,190,64,80,0.04,1,0,2,2,1,0
east african communities adopt water filtration,178,148,1,0.66,0,1,0,1,1,0
east african communities adopt water filtration,258,78,24,0.75,0,0,0,2,1,0
mobile apps now report safe borehole locations,197,21,12,0.38,1,1,3,2,0,0
solar disinfection of water proves effective,63,98,91,0.3,1,1,2,1,1,0
safe sanitation is key to public health,147,7,69,0.25,1,0,2,1,1,0
solar disinfection of water proves effective,177,16,66,0.29,1,1,0,2,0,0
local programs claim sanitation success,112,16,57,0.56,0,0,0,0,1,0
safe sanitation is key to public health,94,89,98,0.4,1,0,1,2,0,0
public toilets improve hygiene in kampala,221,140,81,1.28,1,0,3,0,0,0
soap brands contain microchips for surveillance,12,144,74,0.7,0,1,1,4,1,1
studies show water quality impacts health,188,80,83,0.6,1,1,0,2,0,0
local programs claim sanitation success,47,77,63,0.22,1,0,0,1,1,0
water kiosks now serve clean water in nairobi,248,5,68,0.82,0,1,2,3,0,0
government hides real dangers of hand sanitizers,178,109,82,0.2,0,0,2,2,0,1
boiled water increases blood acidity,39,13,85,0.36,0,1,1,2,0,1
western ngos poison wells to reduce population,199,71,58,0.04,1,0,0,0,0,1
sanitation drives are working in rural areas,34,142,59,0.49,0,1,3,0,0,0
vaccines in water are used to track people,121,53,82,-0.11,0,0,2,1,0,1
tap water linked to reduced iq,215,26,61,-0.18,0,0,2,1,1,1
soap brands contain microchips for surveillance,194,12,15,0.75,0,1,0,2,0,1
experts debate the safety of boiling water,56,59,87,-0.16,0,1,3,0,0,1
unknown,237,5,67,0.67,0,0,1,0,0,1
water kiosks now serve clean water in nairobi,48,57,14,0.46,1,1,3,0,0,0
unknown,25,48,88,0.51,0,1,0,1,0,0
new who guidelines promote water boiling,31,25,54,1.61,0,0,3,3,1,0
studies show water quality impacts health,222,46,34,0.65,0,1,3,2,1,0
unicef supports safe water projects in ethiopia,158,4,54,0.05,0,0,0,3,1,0
east african communities adopt water filtration,250,19,13,-0.56,1,1,1,3,0,0
ngos distribute water purification tablets,281,133,48,-0.25,1,0,3,2,1,0
filtered water removes essential nutrients,68,58,82,0.13,0,0,0,0,1,1
government hides real dangers of hand sanitizers,296,145,99,-0.39,1,1,3,3,0,1
public toilets improve hygiene in kampala,211,131,6,0.07,1,1,0,3,0,0
new who guidelines promote water boiling,41,16,29,0.33,1,1,1,2,1,0
vaccines in water are used to track people,171,13,82,-0.06,1,0,2,2,1,1
rainwater harvesting gains popularity in uganda,264,12,48,0.18,1,1,1,1,1,0
local programs claim sanitation success,263,134,88,0.11,1,1,2,0,1,1
studies show water quality impacts health,18,127,15,0.67,1,0,2,2,1,0
local programs claim sanitation success,148,43,50,0.37,1,0,3,1,0,0
chlorinated water is a government mind control tactic,19,118,71,-1.14,1,0,0,0,1,1
water kiosks now serve clean water in nairobi,223,142,81,-0.27,0,1,0,1,1,0
unknown,282,18,91,0.6,0,1,0,3,0,0
boiling water damages your organs,57,62,79,0.59,1,0,1,0,1,1
unicef supports safe water projects in ethiopia,120,80,82,0.49,1,0,1,3,0,0
sanitation drives are working in rural areas,162,146,41,0.76,0,1,1,0,0,0
natural spring water prevents covid,132,147,16,0.56,1,0,1,0,0,1
clean water access has improved in rural kenya,111,99,62,1.22,1,0,3,0,0,0
government hides real dangers of hand sanitizers,250,121,44,0.85,1,1,3,1,0,1
east african communities adopt water filtration,200,43,76,0.19,0,1,2,0,1,0
east african communities adopt water filtration,226,103,6,0.13,1,1,2,2,1,0
east african communities adopt water filtration,60,60,26,-0.36,1,0,0,0,0,0
studies show water quality impacts health,90,124,9,0.27,0,1,1,2,0,0
sanitizer causes infertility experts say,97,144,33,0.47,1,0,3,2,0,1
using soap daily can cause skin cancer,203,70,35,0.57,0,0,2,0,0,1
east african communities adopt water filtration,113,106,24,0.24,0,0,0,0,1,0
face masks cause water contamination when washed,280,49,5,0.17,0,1,0,2,1,1
local programs claim sanitation success,105,64,23,0.49,1,0,1,4,1,0
east african communities adopt water filtration,207,98,17,0.23,0,1,1,1,1,0
natural spring water prevents covid,10,31,86,-0.71,1,0,0,0,0,1
unicef supports safe water projects in ethiopia,176,140,5,1.04,1,1,1,3,1,0
east african communities adopt water filtration,135,57,28,0.66,1,1,1,0,0,0
local programs claim sanitation success,90,127,24,0.97,0,0,2,0,1,1
ngos distribute water purification tablets,260,141,54,1.22,1,0,2,3,0,0
studies show water quality impacts health,178,111,80,0.43,1,1,2,2,0,0
ngos distribute water purification tablets,82,67,45,0.23,1,0,3,1,0,0
more east african homes now use filtration,150,39,23,0.88,1,1,1,3,0,0
natural spring water prevents covid,79,143,74,0.19,0,1,2,0,1,1
experts debate the safety of boiling water,271,131,25,0.58,0,0,2,3,0,0
rainwater harvesting gains popularity in uganda,254,89,97,-0.08,0,0,0,4,1,0
boiling water damages your organs,12,27,27,0.26,0,1,2,1,1,1
local programs claim sanitation success,72,95,2,0.45,0,1,0,2,1,0
studies show water quality impacts health,58,30,74,0.68,1,1,1,2,1,0
mobile apps now report safe borehole locations,85,2,37,0.88,1,1,0,3,1,0
western ngos poison wells to reduce population,184,135,60,0.12,0,1,2,1,0,1
sanitizer causes infertility experts say,118,23,77,0.5,0,1,3,1,0,1
local programs claim sanitation success,192,14,50,1.34,0,0,3,1,0,0
unknown,201,44,89,-0.07,0,1,1,1,0,1
safe sanitation is key to public health,74,7,47,-0.09,1,1,2,1,1,0
experts debate the safety of boiling water,280,70,20,-0.36,0,1,1,0,1,0
solar disinfection of water proves effective,109,107,53,0.27,0,0,0,1,0,0
more east african homes now use filtration,41,114,55,0.03,1,0,1,1,0,0
unicef supports safe water projects in ethiopia,137,102,93,0.38,0,0,3,0,0,0
local programs claim sanitation success,52,124,58,0.07,1,1,1,2,0,0
east african communities adopt water filtration,87,56,71,0.27,1,1,0,1,0,0
ngos distribute water purification tablets,298,29,50,0.46,1,1,2,0,1,0
proper handwashing reduces cholera outbreaks,279,145,19,0.63,1,1,1,1,0,0
east african communities adopt water filtration,171,113,95,0.22,0,0,0,2,0,0
solar disinfection of water proves effective,198,116,85,0.65,0,0,3,1,1,0
local programs claim sanitation success,256,59,58,-0.21,1,0,2,3,1,1
unicef supports safe water projects in ethiopia,225,97,70,0.23,1,1,1,3,0,0
chlorinated water is a government mind control tactic,177,125,8,0.63,1,1,1,0,1,1
local programs claim sanitation success,202,93,0,0.72,1,1,3,2,0,0
boiling water damages your organs,292,133,28,-0.49,1,0,1,1,1,1
experts debate the safety of boiling water,22,121,62,0.38,0,1,3,2,0,0
sanitizer causes infertility experts say,249,107,71,-0.78,0,0,3,4,0,1
tap water linked to reduced iq,156,3,55,-0.87,0,1,2,1,0,1
new who guidelines promote water boiling,213,92,67,0.13,0,1,3,2,1,0
public toilets improve hygiene in kampala,89,5,34,0.05,0,1,3,0,0,0
safe sanitation is key to public health,52,31,2,0.96,1,0,3,1,1,0
east african communities adopt water filtration,98,105,6,0.0,1,0,1,2,1,0
safe sanitation is key to public health,157,145,26,0.18,0,1,3,3,0,0
boiling water damages your organs,104,14,0,-0.93,0,1,3,1,0,1
studies show water quality impacts health,160,121,90,0.84,0,0,3,1,1,0
unicef supports safe water projects in ethiopia,11,95,79,0.58,0,0,3,1,1,0
local programs claim sanitation success,31,5,70,0.21,1,1,1,0,1,1
local programs claim sanitation success,16,111,43,0.5,0,1,3,1,0,0
rainwater is safer than treated tap water,215,119,86,-0.21,0,0,0,2,0,1
sanitation drives are working in rural areas,123,122,40,0.31,0,0,0,1,0,0
new who guidelines promote water boiling,281,66,74,0.98,1,1,0,3,0,0
safe sanitation is key to public health,92,105,41,0.17,0,1,2,1,0,0
clean water access has improved in rural kenya,188,138,32,0.26,1,1,0,2,0,0
more east african homes now use filtration,219,42,49,-0.28,1,1,0,0,1,0
unknown,133,144,62,0.89,0,0,2,2,0,0
studies show water quality impacts health,122,95,99,0.46,0,1,1,1,0,1
sanitation drives are working in rural areas,21,131,36,0.42,1,0,1,2,1,0
east african communities adopt water filtration,135,80,58,0.06,0,1,2,1,0,0
experts debate the safety of boiling water,62,40,80,0.66,1,0,1,2,0,0
unicef supports safe water projects in ethiopia,292,132,98,0.24,1,1,2,0,1,0
rainwater harvesting gains popularity in uganda,149,34,47,-0.62,0,1,3,2,0,0
mobile apps now report safe borehole locations,106,21,4,0.61,1,1,1,3,0,0
local programs claim sanitation success,14,149,47,1.13,0,1,2,2,0,0
clean water access has improved in rural kenya,66,111,95,1.28,0,1,3,1,0,0
experts debate the safety of boiling water,78,10,2,0.56,1,0,3,2,1,0
more east african homes now use filtration,127,2,46,1.03,1,1,0,1,1,0
solar disinfection of water proves effective,68,136,61,0.28,1,0,2,2,1,0
water kiosks now serve clean water in nairobi,42,59,98,0.75,1,1,2,1,1,0
ngos distribute water purification tablets,59,75,13,0.32,1,0,0,1,1,0
water kiosks now serve clean water in nairobi,28,86,62,0.24,0,0,1,2,1,0
unknown,223,13,60,0.73,0,0,2,1,0,0
ngos distribute water purification tablets,206,17,30,0.07,0,1,3,1,1,0
rainwater harvesting gains popularity in uganda,56,112,94,0.24,0,0,2,1,1,0
soap brands contain microchips for surveillance,176,72,16,0.33,1,0,0,2,1,1
proper handwashing reduces cholera outbreaks,298,22,23,0.52,1,0,2,2,0,0
rainwater harvesting gains popularity in uganda,150,82,22,0.25,1,0,1,3,0,0
unicef supports safe water projects in ethiopia,93,124,81,0.05,0,0,0,3,0,0
unknown,191,68,49,0.54,0,1,0,3,0,0
studies show water quality impacts health,88,46,77,0.79,1,1,3,2,1,0
studies show water quality impacts health,224,115,78,0.61,0,1,2,2,1,0
natural spring water prevents covid,23,29,78,-0.09,0,0,0,3,1,1
ngos distribute water purification tablets,224,24,69,0.64,0,1,1,2,0,0
more east african homes now use filtration,137,111,26,-0.43,0,1,1,2,1,0
unicef supports safe water projects in ethiopia,257,24,14,0.51,1,1,1,3,0,0
experts debate the safety of boiling water,38,73,49,0.94,0,1,3,2,1,0
east african communities adopt water filtration,289,57,35,0.64,1,0,1,2,0,0
local programs claim sanitation success,211,93,7,-0.29,0,1,3,2,1,0
unknown,66,118,78,1.21,1,0,1,2,1,0
rainwater is safer than treated tap water,227,126,2,0.38,0,1,2,2,0,1
public toilets improve hygiene in kampala,71,24,61,0.51,0,0,1,2,0,0
local programs claim sanitation success,166,77,46,0.5,0,0,1,2,0,0
more east african homes now use filtration,211,98,76,0.79,0,1,3,1,0,0
solar disinfection of water proves effective,26,115,97,0.1,0,1,2,2,0,0
experts debate the safety of boiling water,15,47,87,0.3,0,1,2,0,0,0
tap water linked to reduced iq,67,9,95,-0.23,1,0,3,2,0,1
filtered water removes essential nutrients,178,98,60,-0.39,1,1,2,1,1,1
natural spring water prevents covid,91,10,31,-0.13,0,0,1,1,0,1
mobile apps now report safe borehole locations,228,84,93,0.47,1,1,1,0,0,0
filtered water removes essential nutrients,186,148,12,-0.38,1,1,2,0,1,1
proper handwashing reduces cholera outbreaks,213,134,0,-0.24,1,0,1,0,1,0
clean water access has improved in rural kenya,80,125,33,0.12,0,0,2,1,0,0
new who guidelines promote water boiling,275,63,61,0.89,1,1,3,1,0,0
drinking bottled water causes kidney failure,107,1,78,0.01,0,0,3,3,1,1
public toilets improve hygiene in kampala,217,75,77,0.28,0,1,3,2,0,0
proper handwashing reduces cholera outbreaks,11,120,92,0.28,1,1,0,2,0,0
water kiosks now serve clean water in nairobi,133,41,97,0.57,0,0,1,2,0,0
clean water access has improved in rural kenya,289,53,81,0.28,1,1,3,3,0,0
ngos distribute water purification tablets,83,74,70,0.3,0,1,2,2,1,0
experts debate the safety of boiling water,175,15,92,-0.08,1,1,2,1,0,0
mobile apps now report safe borehole locations,31,17,30,0.34,1,1,3,3,0,0
rainwater harvesting gains popularity in uganda,163,89,63,0.21,0,1,3,4,1,0
solar disinfection of water proves effective,228,143,24,0.56,1,1,3,0,0,0
ngos distribute water purification tablets,166,5,37,0.54,0,0,2,1,0,0
new who guidelines promote water boiling,239,107,13,0.26,0,1,0,2,0,0
unknown,29,47,7,-0.38,0,0,3,2,0,0
water kiosks now serve clean water in nairobi,50,41,90,0.12,0,0,2,0,0,0
rainwater harvesting gains popularity in uganda,157,75,53,0.42,1,1,2,2,1,0
clean water access has improved in rural kenya,117,76,1,0.66,0,0,3,0,1,0
tap water linked to reduced iq,93,131,80,0.5,0,1,1,2,0,1
experts debate the safety of boiling water,299,129,77,0.36,0,0,2,0,0,0
rainwater harvesting gains popularity in uganda,143,58,88,0.98,1,1,1,3,0,0
solar disinfection of water proves effective,216,26,55,0.34,1,1,1,3,0,0
local programs claim sanitation success,292,78,93,1.14,1,0,0,3,1,0
safe sanitation is key to public health,275,71,92,0.19,0,1,2,1,1,0
local programs claim sanitation success,82,6,83,0.62,0,1,0,1,0,0
unknown,57,110,84,0.41,1,1,3,2,0,0
water kiosks now serve clean water in nairobi,242,118,60,0.05,0,0,0,2,1,0
local programs claim sanitation success,109,62,21,-0.44,1,1,3,1,1,1
drinking bottled water causes kidney failure,68,123,34,0.29,0,0,1,3,0,1
water kiosks now serve clean water in nairobi,267,11,15,0.26,0,1,2,3,0,0
unicef supports safe water projects in ethiopia,74,140,49,-0.12,0,0,0,2,0,0
natural spring water prevents covid,92,42,42,0.65,0,1,2,3,0,1
solar disinfection of water proves effective,163,16,16,-0.19,1,0,1,0,1,0
new who guidelines promote water boiling,275,62,79,0.42,0,0,1,1,0,0
sanitizer causes infertility experts say,88,119,57,-0.31,0,1,1,1,1,1
water kiosks now serve clean water in nairobi,159,35,1,0.4,0,1,1,1,0,0
experts debate the safety of boiling water,57,7,3,0.64,0,1,1,2,1,0
chlorinated water is a government mind control tactic,257,68,84,-0.57,0,1,1,2,0,1
sanitation drives are working in rural areas,287,89,38,0.29,0,1,0,3,0,0
sanitation drives are working in rural areas,107,35,97,0.15,1,1,2,0,0,0
safe sanitation is key to public health,34,27,93,-0.02,1,0,0,2,1,0
western ngos poison wells to reduce population,293,117,5,-0.39,0,0,1,3,1,1
rainwater is safer than treated tap water,77,92,80,-0.1,1,1,3,1,1,1
boiled water increases blood acidity,16,75,88,0.01,1,1,3,0,0,1
solar disinfection of water proves effective,146,100,68,-0.56,0,0,1,2,1,0
government hides real dangers of hand sanitizers,173,143,68,-0.63,0,0,1,4,1,1
soap brands contain microchips for surveillance,92,13,19,-0.11,1,0,1,3,0,1
more east african homes now use filtration,147,70,63,0.57,1,1,2,2,1,0
filtered water removes essential nutrients,82,123,15,0.28,1,0,2,2,1,1
drinking bottled water causes kidney failure,246,124,50,-0.25,0,0,0,2,0,1
studies show water quality impacts health,55,36,36,0.02,1,1,2,1,1,0
safe sanitation is key to public health,115,28,72,0.67,0,0,1,3,0,0
sanitation drives are working in rural areas,297,142,68,0.34,1,1,2,0,1,0
rainwater harvesting gains popularity in uganda,271,18,41,0.36,1,1,3,2,1,0
clean water access has improved in rural kenya,185,105,56,0.21,1,0,3,1,1,0
rainwater harvesting gains popularity in uganda,175,20,65,0.34,0,1,1,0,1,0
experts debate the safety of boiling water,154,63,8,-0.33,0,0,2,0,0,1
chlorinated water is a government mind control tactic,292,26,99,0.09,0,1,2,1,0,1
natural spring water prevents covid,63,54,85,0.89,1,1,0,1,0,1
new who guidelines promote water boiling,187,28,63,0.43,1,0,0,4,0,0
mobile apps now report safe borehole locations,253,147,85,0.17,0,1,3,2,1,0
public toilets improve hygiene in kampala,136,24,21,-0.65,0,1,1,2,0,0
studies show water quality impacts health,280,69,33,-0.12,0,1,3,1,0,0
government hides real dangers of hand sanitizers,141,62,54,0.69,1,1,1,2,0,1
tap water linked to reduced iq,102,129,28,0.62,0,1,1,1,0,1
proper handwashing reduces cholera outbreaks,82,149,37,-0.15,0,1,1,0,1,0
sanitation drives are working in rural areas,257,15,96,0.79,0,1,1,2,0,0
sanitizer causes infertility experts say,282,145,17,-0.61,1,0,2,1,0,1
local programs claim sanitation success,52,99,70,0.35,0,1,1,2,1,0
chlorinated water is a government mind control tactic,50,29,64,0.89,1,1,2,2,0,1
unknown,179,44,96,0.24,0,0,1,0,1,0
mobile apps now report safe borehole locations,221,18,0,0.69,1,1,2,2,0,0
proper handwashing reduces cholera outbreaks,177,33,87,0.42,0,1,2,2,1,0
mobile apps now report safe borehole locations,48,140,3,-0.09,0,1,3,2,0,0
mobile apps now report safe borehole locations,254,61,3,0.36,0,0,3,1,1,0
east african communities adopt water filtration,160,117,81,1.12,1,0,0,3,0,0
east african communities adopt water filtration,120,99,26,0.74,1,0,3,2,1,0
more east african homes now use filtration,56,21,42,0.58,1,0,3,3,1,0
local programs claim sanitation success,72,110,58,-0.11,0,1,1,1,1,1
solar disinfection of water proves effective,234,72,31,0.13,1,0,0,0,1,0
mobile apps now report safe borehole locations,78,146,32,0.09,0,1,3,2,0,0
east african communities adopt water filtration,299,37,27,0.25,0,0,3,3,1,0
unicef supports safe water projects in ethiopia,212,69,54,0.62,1,1,2,3,1,0
sanitation drives are working in rural areas,70,115,99,0.58,1,0,0,2,1,0
new who guidelines promote water boiling,170,78,59,0.92,1,0,0,0,0,0
public toilets improve hygiene in kampala,25,147,69,0.58,0,1,0,3,0,0
new who guidelines promote water boiling,103,8,61,0.03,1,1,2,3,0,0
ngos distribute water purification tablets,147,31,79,0.2,0,1,0,2,0,0
studies show water quality impacts health,47,131,33,0.69,1,1,0,0,0,0
natural spring water prevents covid,136,49,86,0.92,0,1,2,0,1,1
experts debate the safety of boiling water,284,81,87,-0.49,0,1,0,0,0,1
drinking bottled water causes kidney failure,173,4,55,0.63,0,1,0,1,1,1
chlorinated water is a government mind control tactic,86,147,12,0.08,0,0,1,1,0,1
clean water access has improved in rural kenya,183,86,55,0.48,0,1,3,2,0,0
east african communities adopt water filtration,100,125,17,0.29,1,1,0,0,1,0
local programs claim sanitation success,247,74,53,1.21,1,0,2,3,0,0
mobile apps now report safe borehole locations,273,21,76,0.49,1,0,1,1,0,0
local programs claim sanitation success,188,67,42,-0.51,0,0,3,1,1,1
mobile apps now report safe borehole locations,218,43,38,0.4,0,1,3,3,1,0
safe sanitation is key to public health,82,33,60,0.4,0,1,1,1,1,0
local programs claim sanitation success,116,76,41,-0.3,1,1,2,1,1,1
boiling water damages your organs,293,41,80,-0.32,1,0,3,2,0,1
experts debate the safety of boiling water,191,136,78,0.89,1,1,3,0,0,0
western ngos poison wells to reduce population,46,105,17,-0.66,0,0,3,3,0,1
unicef supports safe water projects in ethiopia,146,94,22,0.78,1,1,0,1,0,0
natural spring water prevents covid,65,134,53,-0.07,1,1,0,3,0,1
solar disinfection of water proves effective,196,67,29,0.05,0,0,1,3,1,0
soap brands contain microchips for surveillance,267,146,97,-0.62,0,0,1,0,1,1
rainwater harvesting gains popularity in uganda,67,127,57,0.67,0,1,2,0,1,0
local programs claim sanitation success,132,84,67,1.05,1,1,2,4,0,0
experts debate the safety of boiling water,197,82,66,0.15,0,1,1,3,1,0
drinking bottled water causes kidney failure,239,94,70,0.19,1,1,2,2,0,1
boiling water damages your organs,177,31,17,-0.11,0,1,3,3,0,1
new who guidelines promote water boiling,123,65,6,0.31,1,0,3,1,0,0
new who guidelines promote water boiling,261,115,39,0.79,0,0,2,1,0,0
local programs claim sanitation success,116,137,69,0.37,1,1,2,3,0,0
sanitation drives are working in rural areas,46,129,85,0.47,0,1,1,0,0,0
western ngos poison wells to reduce population,101,59,64,0.41,1,1,1,1,0,1
sanitizer causes infertility experts say,27,16,67,0.3,0,1,2,2,1,1
unicef supports safe water projects in ethiopia,72,95,48,0.54,0,1,3,2,1,0
clean water access has improved in rural kenya,159,143,51,0.21,1,1,0,1,1,0
using soap daily can cause skin cancer,148,15,28,-0.05,1,1,2,3,1,1
safe sanitation is key to public health,195,45,20,-0.18,0,1,1,3,0,0
vaccines in water are used to track people,194,106,89,-0.06,1,1,1,2,1,1
experts debate the safety of boiling water,214,87,77,0.37,0,0,2,0,0,1
sanitation drives are working in rural areas,269,128,8,1.04,0,1,1,0,1,0
public toilets improve hygiene in kampala,223,138,46,0.63,1,1,3,3,1,0
unknown,265,118,75,-0.74,0,0,1,2,1,1
sanitation drives are working in rural areas,144,84,41,0.28,1,0,0,2,0,0
studies show water quality impacts health,70,3,50,0.24,1,1,0,3,0,0
ngos distribute water purification tablets,97,70,55,0.5,1,0,3,2,0,0
soap brands contain microchips for surveillance,216,110,50,-0.69,0,1,1,2,0,1
ngos distribute water purification tablets,138,49,69,0.4,1,0,1,2,0,0
soap brands contain microchips for surveillance,12,139,19,0.18,0,1,2,0,0,1
safe sanitation is key to public health,251,94,87,0.7,1,1,0,0,1,0
solar disinfection of water proves effective,130,91,26,0.91,0,1,2,2,0,0
natural spring water prevents covid,111,64,37,-1.67,0,0,2,0,1,1
water kiosks now serve clean water in nairobi,47,46,71,0.34,0,1,1,2,0,0
unknown,142,105,64,0.6,0,1,0,0,1,0
safe sanitation is key to public health,211,129,53,0.17,0,0,2,0,0,0
safe sanitation is key to public health,30,105,23,0.1,1,1,1,2,1,0
east african communities adopt water filtration,251,23,46,0.19,1,0,3,1,1,0
clean water access has improved in rural kenya,118,3,70,0.1,1,1,0,2,0,0
public toilets improve hygiene in kampala,93,107,82,0.51,1,1,1,3,1,0
western ngos poison wells to reduce population,92,18,85,0.17,0,0,3,2,0,1
rainwater harvesting gains popularity in uganda,78,39,62,0.65,1,1,2,4,0,0
solar disinfection of water proves effective,138,49,56,0.27,0,1,2,3,1,0
unicef supports safe water projects in ethiopia,205,74,54,0.34,0,0,2,3,0,0
soap brands contain microchips for surveillance,149,11,59,0.09,0,0,3,2,0,1
chlorinated water is a government mind control tactic,292,26,98,1.28,1,1,3,3,0,1
local programs claim sanitation success,243,112,61,0.18,0,1,2,2,1,0
experts debate the safety of boiling water,32,48,29,-0.32,0,1,2,1,0,0
more east african homes now use filtration,162,143,92,0.51,1,0,3,3,0,0
tap water linked to reduced iq,286,129,21,0.28,1,0,1,2,0,1
face masks cause water contamination when washed,70,59,74,0.26,1,0,0,0,0,1
new who guidelines promote water boiling,61,29,83,0.15,0,1,2,1,0,0
using soap daily can cause skin cancer,162,83,28,0.14,0,0,3,1,1,1
western ngos poison wells to reduce population,246,27,40,0.38,0,1,1,0,1,1
unicef supports safe water projects in ethiopia,41,24,41,-0.01,0,0,1,3,0,0
east african communities adopt water filtration,64,95,97,0.27,0,0,1,3,1,0
safe sanitation is key to public health,45,124,64,-0.56,1,1,2,2,0,0
local programs claim sanitation success,119,9,30,0.38,1,0,3,0,0,0
boiled water increases blood acidity,186,41,29,-0.09,0,1,0,0,1,1
mobile apps now report safe borehole locations,106,39,17,0.92,0,0,3,0,0,0
rainwater is safer than treated tap water,222,76,16,1.07,1,0,3,1,0,1
studies show water quality impacts health,146,104,37,1.64,0,1,1,0,0,0
more east african homes now use filtration,15,117,13,0.51,1,1,0,2,0,0
clean water access has improved in rural kenya,118,41,86,-0.1,1,0,2,0,1,0
east african communities adopt water filtration,44,46,88,0.39,1,0,2,0,1,0
clean water access has improved in rural kenya,48,21,78,0.04,0,0,1,1,1,0
clean water access has improved in rural kenya,159,106,55,0.54,1,0,2,1,1,0
boiled water increases blood acidity,127,26,21,0.58,0,1,3,1,1,1
unicef supports safe water projects in ethiopia,270,40,66,0.13,1,0,1,3,1,0
sanitation drives are working in rural areas,96,79,55,0.17,1,0,0,0,1,0
soap brands contain microchips for surveillance,85,88,18,0.01,1,0,3,2,0,1
unknown,223,65,56,-0.22,1,0,0,3,0,0
east african communities adopt water filtration,294,11,43,1.53,0,0,0,2,1,0
solar disinfection of water proves effective,248,72,97,0.09,1,0,3,3,0,0
unknown,174,75,34,0.64,1,1,0,0,1,0
drinking bottled water causes kidney failure,96,89,0,-0.99,0,0,1,2,0,1
experts debate the safety of boiling water,150,9,51,0.51,0,1,1,4,1,0
safe sanitation is key to public health,169,95,84,0.67,0,1,3,2,0,0
studies show water quality impacts health,55,19,92,0.13,0,1,2,1,1,1
ngos distribute water purification tablets,121,38,69,0.27,1,1,0,2,1,0
sanitation drives are working in rural areas,54,59,36,-0.28,1,0,3,3,1,0
boiling water damages your organs,256,65,64,0.1,0,0,0,3,0,1
chlorinated water is a government mind control tactic,113,64,50,-0.2,1,1,3,1,0,1
water kiosks now serve clean water in nairobi,94,123,0,0.55,1,1,0,1,1,0
mobile apps now report safe borehole locations,143,129,90,0.68,1,1,2,0,1,0
unicef supports safe water projects in ethiopia,117,56,20,0.35,1,0,3,2,1,0
local programs claim sanitation success,27,77,52,-0.54,1,1,1,1,0,0
proper handwashing reduces cholera outbreaks,103,28,15,0.09,1,0,2,3,1,0
unicef supports safe water projects in ethiopia,159,14,60,0.5,0,1,1,3,0,0
more east african homes now use filtration,255,11,53,1.02,0,1,2,1,0,0
experts debate the safety of boiling water,298,100,39,-0.28,0,1,1,1,1,0
sanitizer causes infertility experts say,218,83,25,1.02,0,0,2,1,0,1
more east african homes now use filtration,135,124,79,0.64,1,0,0,0,0,0
more east african homes now use filtration,244,102,91,1.14,0,1,1,3,0,0
studies show water quality impacts health,131,23,64,0.02,1,0,0,2,1,0
proper handwashing reduces cholera outbreaks,147,148,99,0.53,0,0,3,2,0,0
chlorinated water is a government mind control tactic,124,137,73,0.43,1,1,0,2,0,1
unknown,171,109,63,-0.29,0,1,1,2,0,0
public toilets improve hygiene in kampala,210,77,42,-0.08,1,0,2,0,0,0
safe sanitation is key to public health,243,100,16,-0.18,0,0,0,1,1,0
water kiosks now serve clean water in nairobi,37,145,58,1.15,1,1,2,2,0,0
clean water access has improved in rural kenya,20,141,22,-0.35,0,0,3,3,0,0
rainwater harvesting gains popularity in uganda,215,127,6,0.57,1,0,3,2,1,0
water kiosks now serve clean water in nairobi,176,57,43,0.04,0,1,1,3,1,0
soap brands contain microchips for surveillance,256,75,52,0.89,0,0,2,3,1,1
public toilets improve hygiene in kampala,56,149,70,0.83,1,0,0,2,1,0
safe sanitation is key to public health,255,35,78,-0.1,1,0,0,2,1,0
local programs claim sanitation success,136,21,33,0.34,0,0,3,1,1,0
solar disinfection of water proves effective,156,126,45,0.49,0,1,2,2,1,0
unknown,127,79,67,-0.58,1,1,2,3,0,1
proper handwashing reduces cholera outbreaks,161,99,77,0.89,0,1,3,2,1,0
chlorinated water is a government mind control tactic,81,95,77,0.15,0,0,0,1,1,1
safe sanitation is key to public health,146,147,15,-0.01,1,1,3,3,0,0
rainwater is safer than treated tap water,184,17,70,-0.6,0,0,2,0,1,1
unknown,298,37,95,0.21,0,1,0,0,1,0
studies show water quality impacts health,28,108,18,-0.6,0,1,3,0,0,1
east african communities adopt water filtration,204,122,1,-0.18,1,1,2,1,0,0
studies show water quality impacts health,184,143,9,0.81,0,1,2,1,1,0
vaccines in water are used to track people,150,148,49,-0.17,0,0,1,2,0,1
safe sanitation is key to public health,255,103,80,1.24,0,1,1,3,1,0
solar disinfection of water proves effective,102,139,11,0.39,0,0,3,1,0,0
water kiosks now serve clean water in nairobi,248,143,69,0.33,1,1,0,1,1,0
face masks cause water contamination when washed,214,80,21,-0.45,1,0,0,0,0,1
more east african homes now use filtration,57,86,31,0.44,1,0,1,0,0,0
